COMPONENT,ISIN,TICKER,TRADING LOCATION,ISSUER COUNTRY,Turnover,Turnover in EUR,Volume,ROA,ROE,ROIC,CCY
Accor Sa,FR0000120404,AC,Euronext Paris,France,44122934.73,44122934.73,1016775.0,4.0,11.9,8.0,EUR
L'Air Liquide Societe Anonyme Pour L'Etude Et L'Exploitation Des Procedes Georges Claude Sa,FR0000120073,AI,Euronext Paris,France,117667138.9,117667138.9,609693.0,6.1,12.9,12.1,EUR
Airbus Se,NL0000235190,1AIR,Euronext Paris,Netherlands,165742457.82,165742457.82,969451.0,2.3,23.5,13.5,EUR
Arcelormittal Sa,LU1598757687,MT,Euronext Amsterdam,Luxembourg,44321308.065,44321308.065,1738641.0,2.1,1.8,4.5,EUR
Axa,FR0000120628,CS,Euronext Paris,France,121479807.525,121479807.525,3490177.0,0.9,12.8,7.5,EUR
Bnp Paribas Act.A,FR0000131104,BNP,Euronext Paris,France,228114028.42,228114028.42,3467964.0,0.1,12.8,7.5,EUR
Bouygues Sa,FR0000120503,EN,Euronext Paris,France,36555688.29,36555688.29,965487.0,2.0,8.6,6.6,EUR
Capgemini Se,FR0000125338,CAP,Euronext Paris,France,98614242.9,98614242.9,462003.0,,,,EUR
Carrefour Sa,FR0000120172,CA,Euronext Paris,France,31551442.14,31551442.14,1984097.0,2.5,6.8,6.6,EUR
Credit Agricole Sa,FR0000045072,ACA,Euronext Paris,France,76138942.318,76138942.318,5518713.0,0.3,9.6,,EUR
Danone Sa,FR0000120644,BN,Euronext Paris,France,72653044.11,72653044.11,1213072.0,4.9,5.6,10.4,EUR
Dassault Systemes Se,FR0014003TT8,DSY,Euronext Paris,France,63240288.215,63240288.215,1539715.0,5.6,13.8,11.2,EUR
Edenred,FR0010908533,EDEN,Euronext Paris,France,27183550.11,27183550.11,548825.0,2.8,,13.1,EUR
Engie Sa,FR0010208488,ENGI,Euronext Paris,France,107821158.022,107821158.022,6950577.0,3.3,7.7,12.6,EUR
Essilorluxottica Sa,FR0000121667,EL,Euronext Paris,France,84751068.4,84751068.4,403928.0,3.4,6.3,6.2,EUR
Eurofins Scientific Se,FR0014000MR3,ERFSF,Euronext Paris,France,25411233.3,25411233.3,432940.0,4.3,6.2,7.8,EUR
Hermes International Sca,FR0000052292,RMS,Euronext Paris,France,131245341.5,131245341.5,55310.0,18.6,31.3,32.7,EUR
Kering Sa,FR0000121485,KER,Euronext Paris,France,91962509.5,91962509.5,250449.0,7.9,20.0,13.3,EUR
L'Oreal Sa,FR0000120321,OR,Euronext Paris,France,137161252.3,137161252.3,312490.0,10.3,22.0,21.1,EUR
Legrand Sa,FR0010307819,LR,Euronext Paris,France,63082556.22,63082556.22,642073.0,6.6,17.2,12.7,EUR
Lvmh Moet Hennessy Louis Vuitton Se,FR0000121014,MC,Euronext Paris,France,381303740.3,381303740.3,456534.0,10.2,26.7,21.0,EUR
Compagnie Generale Des Etablissements Michelin Sca,FR001400AJ45,ML,Euronext Paris,France,45002654.45,45002654.45,1265128.0,5.9,11.3,13.5,EUR
Orange Sa,FR0000133308,ORA,Euronext Paris,France,58217811.59,58217811.59,5348634.0,3.2,8.3,7.0,EUR
Pernod Ricard Sa,FR0000120693,RI,Euronext Paris,France,64452106.75,64452106.75,428614.0,5.1,12.2,9.1,EUR
Publicis Groupe Sa,FR0000130577,PUB,Euronext Paris,France,37795979.06,37795979.06,374471.0,3.8,13.7,14.3,EUR
Renault Sa,FR0000131906,RNO,Euronext Paris,France,41906035.435,41906035.435,895026.0,2.1,7.7,4.1,EUR
Safran Sa,FR0000073272,SAF,Euronext Paris,France,124395252.8,124395252.8,591624.0,4.1,30.7,16.1,EUR
Compagnie De Saint Gobain Sa,FR0000125007,SGO,Euronext Paris,France,71453100.35,71453100.35,993304.0,5.6,11.7,12.5,EUR
Sanofi Sa,FR0000120578,SAN,Euronext Paris,France,167539014.59,167539014.59,1839942.0,4.5,7.3,9.7,EUR
Schneider Electric Se,FR0000121972,SU,Euronext Paris,France,170063754.75,170063754.75,810844.0,6.3,15.7,13.8,EUR
Societe Generale Sa,FR0000130809,GLE,Euronext Paris,France,114832949.385,114832949.385,4643755.0,0.2,4.6,,EUR
Stellantis Nv,NL00150001Q9,STLAP,Euronext Paris,Netherlands,74803134.41,74803134.41,2825395.0,7.4,24.1,19.7,EUR
Stmicroelectronics Nv,NL0000226223,STM,Euronext Paris,Netherlands,53411712.575,53411712.575,1334676.0,13.0,28.5,23.0,EUR
Stmicroelectronics Nv,NL0000226223,STM,Euronext Paris,Netherlands,83107070.94,83107070.94,2072125.0,13.0,28.5,23.0,EUR
Teleperformance Se,FR0000051807,TEP,Euronext Paris,France,23447528.96,23447528.96,259955.0,6.3,15.2,10.5,EUR
Thales,FR0000121329,HO,Euronext Paris,France,40615927.4,40615927.4,256651.0,2.7,12.9,10.0,EUR
Totalenergies Se,FR0000120271,TTE,Euronext Paris,France,219069789.68,219069789.68,3452878.0,5.8,7.8,11.6,EUR
Unibail-Rodamco-We,FR0013326246,URW,Euronext Paris,France,24218467.7,24218467.7,324959.0,1.7,8.1,2.8,EUR
Veolia Environnement Sa,FR0000124141,VIE,Euronext Paris,France,48897763.4,48897763.4,1620647.0,2.4,2.0,6.2,EUR
Vinci Sa,FR0000125486,DG,Euronext Paris,France,104749142.86,104749142.86,880474.0,4.4,16.6,11.3,EUR
Vivendi Se,FR0000127771,VIV,Euronext Paris,France,24219937.818,24219937.818,2403662.0,1.2,2.8,2.5,EUR
Abn Amro Bank N.V.,NL0011540547,ABN,Euronext Amsterdam,Netherlands,54608508.39,54608508.39,3452415.0,0.7,11.5,,EUR
Adyen,NL0012969182,ADYEN,Euronext Amsterdam,Netherlands,105391737.8,105391737.8,67100.0,5.0,21.0,20.2,EUR
Aegon,BMG0112X1056,AGN,Euronext Amsterdam,Netherlands,30288814.74,30288814.74,5358599.0,,,,EUR
Ahold Del,NL0011794037,AD,Euronext Amsterdam,Netherlands,51052231.64,51052231.64,1842762.0,4.4,12.4,10.1,EUR
Akzo Nobel,NL0013267909,AKZA,Euronext Amsterdam,Netherlands,22301447.72,22301447.72,321731.0,4.5,10.7,10.0,EUR
Arcelormittal Sa,LU1598757687,MT.S,Euronext Amsterdam,Luxembourg,44321308.065,44321308.065,1738641.0,2.1,1.8,4.5,EUR
Asm International,NL0000334118,ASM,Euronext Amsterdam,Netherlands,75407234.7,75407234.7,132724.0,,,,EUR
Asml Holding,NL0010273215,ASML,Euronext Amsterdam,Netherlands,476268374.9,476268374.9,532794.0,14.8,70.4,48.7,EUR
Asr Nederland,NL0011872643,ASRNL,Euronext Amsterdam,Netherlands,30018025.88,30018025.88,663046.0,2.4,13.5,12.7,EUR
Be Semiconductor,NL0012866412,BESI,Euronext Amsterdam,Netherlands,74758202.05,74758202.05,526172.0,13.1,33.7,28.3,EUR
Dsm Firmenich Ag,CH1216478797,DSMR,Euronext Amsterdam,Switzerland,44900125.58,44900125.58,425698.0,,,,EUR
Exor Nv,NL0012059018,EXO,Euronext Amsterdam,Netherlands,15917681.45,15917681.45,154591.0,3.2,21.2,7.1,EUR
Heineken,NL0000009165,HEIA,Euronext Amsterdam,Netherlands,41709706.28,41709706.28,465982.0,4.7,10.8,9.3,EUR
Imcd,NL0010801007,IMCD,Euronext Amsterdam,Netherlands,23081484.45,23081484.45,141116.0,6.9,17.2,12.2,EUR
Ing Groep N.V.,NL0011821202,INGA,Euronext Amsterdam,Netherlands,209567441.772,209567441.772,13778374.0,0.4,7.8,,EUR
Kpn Kon,NL0000009082,TKWY,Euronext Amsterdam,Netherlands,34830780.088,34830780.088,10044911.0,7.0,23.0,12.9,EUR
Nn Group,NL0010773842,NN,Euronext Amsterdam,Netherlands,36140975.95,36140975.95,844844.0,0.8,6.1,7.4,EUR
Philips Kon,NL0000009538,PHIA,Euronext Amsterdam,Netherlands,38704542.494,38704542.494,2077535.0,0.9,,2.1,EUR
Prosus,NL0013654783,PRX,Euronext Amsterdam,Netherlands,111995463.375,111995463.375,3854732.0,,26.0,,EUR
Randstad Nv,NL0000379121,RAND,Euronext Amsterdam,Netherlands,42584794.21,42584794.21,866020.0,5.0,13.0,14.8,EUR
Relx,GB00B2B0DG97,REN,Euronext Amsterdam,United Kingdom,27024971.09,27024971.09,672137.0,10.7,49.7,25.3,EUR
Shell Plc,GB00BP6MXD84,SHEL,Euronext Amsterdam,United Kingdom,194146348.41,194146348.41,6270881.0,5.2,10.3,12.4,EUR
Umg,NL0015000IY2,UMG,Euronext Amsterdam,Netherlands,46643851.91,46643851.91,1677151.0,,,,EUR
Unilever,GB00B10RZP78,UNA,Euronext Amsterdam,United Kingdom,50160538.405,50160538.405,1078663.0,8.2,33.6,18.5,EUR
Wolters Kluwer,NL0000395903,WKL,Euronext Amsterdam,Netherlands,79024988.85,79024988.85,543875.0,8.8,49.6,27.0,EUR
Ab Inbev,BE0974293251,BUD,Euronext Brussels,Belgium,83477074.78,83477074.78,1481372.0,4.2,7.8,7.9,EUR
Ackermans V.Haaren,BE0003764785,ACKR,Euronext Brussels,Belgium,3150358.1,3150358.1,19515.0,1.8,8.2,5.8,EUR
Aedifica,BE0003851681,AED,Euronext Brussels,Belgium,4395155.95,4395155.95,77300.0,2.7,0.7,4.4,EUR
Ageas,BE0974264930,AGS,Euronext Brussels,Belgium,13835116.04,13835116.04,322424.0,2.4,12.5,24.5,EUR
Argenx Se,NL0010832176,ARGX,Euronext Brussels,Netherlands,23499302.2,23499302.2,64086.0,,8.5,,EUR
Cofinimmo,BE0003593044,COFB,Euronext Brussels,Belgium,6296631.6,6296631.6,104283.0,2.6,,4.3,EUR
D'Ieteren Group,BE0974259880,DIE,Euronext Brussels,Belgium,7432817.0,7432817.0,36074.0,3.5,15.3,7.0,EUR
Elia Group,BE0003822393,ELI,Euronext Brussels,Belgium,5229124.7,5229124.7,52228.0,2.3,7.1,4.7,EUR
Galapagos,BE0003818359,GLPG,Euronext Amsterdam,Belgium,5547717.88,5547717.88,186732.0,,,,EUR
Gbl,BE0003797140,GBLB,Euronext Brussels,Belgium,6641866.78,6641866.78,94769.0,,,,EUR
Kbc,BE0003565737,KBC,Euronext Brussels,Belgium,36868732.04,36868732.04,530979.0,1.0,15.1,,EUR
Lotus Bakeries,BE0003604155,LOTB,Euronext Brussels,Belgium,8228330.0,8228330.0,922.0,9.2,21.1,17.0,EUR
Melexis,BE0165385973,MELE,Euronext Brussels,Belgium,2081517.2,2081517.2,27687.0,22.6,40.5,35.6,EUR
Sofina,BE0003717312,SOFI,Euronext Brussels,Belgium,5461537.4,5461537.4,26378.0,,,,EUR
